month,year,radio,mobile,total,percentage
Apr,2017,1010 AM,18279,39066,46.79
Apr,2017,91.5 WUML Lowell,66,186,35.48
Apr,2017,AM 1330,135,186,72.58
Apr,2017,AM 750,200202,384993,52.00
Apr,2017,AM 840 - Salta,3,3,100.00
Apr,2017,AM 890,459,909,50.50
Apr,2017,AM1010 Onda Latina,3171,6612,47.96
Apr,2017,AMPM FM,705,1677,42.04
Apr,2017,Ahijuna,4497,7371,61.01
Apr,2017,Alas,1089,1422,76.58
Apr,2017,Amadeus Cultura Musical,90,123,73.17
Apr,2017,America,66,237,27.85
Apr,2017,Aspen,24,165,14.55
Apr,2017,Azul,117,258,45.35
Apr,2017,Belgrano,249,525,47.43
Apr,2017,Belgrano AM 950,12372,29517,41.91
Apr,2017,BitBox FM,60,177,33.90
Apr,2017,Blue,7404,18828,39.32
Apr,2017,Boedo,54,105,51.43
Apr,2017,Capital,192,276,69.57
Apr,2017,Cielo,1968,3510,56.07
Apr,2017,Citrica,1839,3405,54.01
Apr,2017,Classique,717,1578,45.44
Apr,2017,Con Vos,168915,313557,53.87
Apr,2017,Concepto,11907,22521,52.87
Apr,2017,Conexión Abierta,2079,3630,57.27
Apr,2017,Continental,9069,16635,54.52
Apr,2017,Continental (Córdoba),957,1239,77.24
Apr,2017,Cooperativa,16398,32382,50.64
Apr,2017,Cristal Classic,3,3,100.00
Apr,2017,Cristal FM,36,99,36.36
Apr,2017,Cultura,6915,18414,37.55
Apr,2017,De la Azotea,171,315,54.29
Apr,2017,Del Mar,450,711,63.29
Apr,2017,Del Plata,117372,291807,40.22
Apr,2017,Del Sol,3630,7434,48.83
Apr,2017,Delta,891,2739,32.53
Apr,2017,Deportiva,1125,2574,43.71
Apr,2017,Disney,402,690,58.26
Apr,2017,ESPN,180,372,48.39
Apr,2017,Ecomedios,222,306,72.55
Apr,2017,El Desconcierto,0,12,0.00
Apr,2017,El Espectador (Uruguay),26478,48357,54.76
Apr,2017,El Mundo,4545,9060,50.17
Apr,2017,El Pueblo,36,135,26.67
Apr,2017,Emisora del Sur,723,1182,61.17
Apr,2017,Encuentro (Viedma),3,18,16.67
Apr,2017,Equilibrio.Net,18,33,54.55
Apr,2017,Estación K2,495,582,85.05
Apr,2017,Estación Sur,291,534,54.49
Apr,2017,Eterogenia,84,384,21.88
Apr,2017,FM Blue,186,294,63.27
Apr,2017,FM Chalet - Radio Comunitaria,210,813,25.83
Apr,2017,FM DEL CARMEN,81,165,49.09
Apr,2017,FM En Tránsito,450,1446,31.12
Apr,2017,FM Flores,15,63,23.81
Apr,2017,FM Fribuay,1332,2418,55.09
Apr,2017,FM IMPACTO,93,138,67.39
Apr,2017,FM KAOS,1119,1920,58.28
Apr,2017,FM LA CIMA,150,333,45.05
Apr,2017,FM LATINA,30,114,26.32
Apr,2017,FM La Barriada,3,18,16.67
Apr,2017,FM La Patriada,24282,53958,45.00
Apr,2017,FM La Tecno,5883,9765,60.25
Apr,2017,FM La Tribu,2898,8247,35.14
Apr,2017,FM La Uni 91.7,324,657,49.32
Apr,2017,FM Latina,3708,9087,40.81
Apr,2017,FM Raíces Rock,1299,3294,39.44
Apr,2017,FM Riachuelo,642,912,70.39
Apr,2017,FM Riel,24,39,61.54
Apr,2017,FM Rock & Pop,5334,10722,49.75
Apr,2017,FM Secla 104.7,1698,2796,60.73
Apr,2017,FM Soldados,99,255,38.82
Apr,2017,FM UTN Mendoza 94.5,468,912,51.32
Apr,2017,FM de la Montaña,8985,11433,78.59
Apr,2017,Fiesta,6,54,11.11
Apr,2017,Fisherton CNN,339,516,65.70
Apr,2017,Frecuencia Patagonia,5766,7905,72.94
Apr,2017,Frecuencia Zero,1413,3387,41.72
Apr,2017,Fun,9,54,16.67
Apr,2017,Futurock FM,15444,38841,39.76
Apr,2017,Galena,360,1641,21.94
Apr,2017,Gen,2001,3819,52.40
Apr,2017,General Belgrano AM 840,9,27,33.33
Apr,2017,Güemes - La Futbolera,2856,5004,57.07
Apr,2017,Hot 94,18,102,17.65
Apr,2017,Impacto,285,399,71.43
Apr,2017,Keops,354,744,47.58
Apr,2017,LARZ,936,2496,37.50
Apr,2017,LT 9,2601,4752,54.73
Apr,2017,LT10 Radio Universidad Nacional del Litoral,519,849,61.13
Apr,2017,LT3 Rosario,18,51,35.29
Apr,2017,LT7 Corrientes,291,468,62.18
Apr,2017,LT8 Rosario,360,855,42.11
Apr,2017,LU 19 - Río Negro,51,117,43.59
Apr,2017,LU14,8268,16119,51.29
Apr,2017,LU20 Radio Chubut,132,210,62.86
Apr,2017,LU5,18,36,50.00
Apr,2017,LV12,3522,4173,84.40
Apr,2017,LV28 Villa Maria,198,309,64.08
Apr,2017,La 2x4,831,2088,39.80
Apr,2017,La Brújula 24 FM,40083,72123,55.58
Apr,2017,La Carretera (Allen),33,54,61.11
Apr,2017,La Colectiva,228,450,50.67
Apr,2017,La Imposible,1932,4167,46.36
Apr,2017,La Mega,93,357,26.05
Apr,2017,La Once Diez,9528,17880,53.29
Apr,2017,La Otra,36,225,16.00
Apr,2017,La Radio,24,102,23.53
Apr,2017,La Red,169386,301965,56.09
Apr,2017,La Red Neuquén,171,579,29.53
Apr,2017,La Red Rosario,147,375,39.20
Apr,2017,La Retaguardia,468,753,62.15
Apr,2017,La Rocker,66,99,66.67
Apr,2017,La Romantica,50841,79998,63.55
Apr,2017,La Súper,2544,3933,64.68
Apr,2017,La X,0,6,0.00
Apr,2017,La cien punto uno,4875,9291,52.47
Apr,2017,LaBici,591,1161,50.90
Apr,2017,Lacatorce10,12,24,50.00
Apr,2017,Las voces del muro,321,687,46.72
Apr,2017,Late,3822,7206,53.04
Apr,2017,Led,2388,5208,45.85
Apr,2017,Libertad,21,42,50.00
Apr,2017,Lider,3,6,50.00
Apr,2017,Los 40,2343,3918,59.80
Apr,2017,MEGA 98.3 SANTA FE,45,120,37.50
Apr,2017,Madre,1017,1875,54.24
Apr,2017,Maxima FM,405,579,69.95
Apr,2017,Maxima-Madrid,33,45,73.33
Apr,2017,Medios del Aire,0,12,0.00
Apr,2017,Megafon - Universidad Nacional de Lanús,4461,9042,49.34
Apr,2017,Metro 95.1,72528,138945,52.20
Apr,2017,Mi Ituzaingó - Radio Pública del Oeste,96,177,54.24
Apr,2017,Milenium,2649,6297,42.07
Apr,2017,Mágica,3000,4281,70.08
Apr,2017,Nacional - AM 870,11388,25209,45.17
Apr,2017,Nacional Córdoba,48,105,45.71
Apr,2017,Nacional Rock,942,2631,35.80
Apr,2017,Nacional Santa Fé,39,189,20.63
Apr,2017,Nuestra Radio,8151,15312,53.23
Apr,2017,Océano Uruguay,312,849,36.75
Apr,2017,Om,48,138,34.78
Apr,2017,Onda La Superestación 107.9 Caracas,426,621,68.60
Apr,2017,Orfeo FM,4989,6036,82.65
Apr,2017,Oriental,72,81,88.89
Apr,2017,Orión,12,102,11.76
Apr,2017,Palermo,210,384,54.69
Apr,2017,Palermo RPLM 94.7,2058,4272,48.17
Apr,2017,Paraíso 42,714,1020,70.00
Apr,2017,Patagonia Pop,18,60,30.00
Apr,2017,Pentagrama,0,12,0.00
Apr,2017,Planeta Cabezón,57,129,44.19
Apr,2017,Provincia,426,759,56.13
Apr,2017,Pulxo 95.1,10551,17574,60.04
Apr,2017,Punto Cero,1140,2016,56.55
Apr,2017,Punto a punto,0,3,0.00
Apr,2017,RADIO NEF,11424,24189,47.23
Apr,2017,RAE - Argentina al mundo,21,42,50.00
Apr,2017,RCR 750 AM,81,138,58.70
Apr,2017,RLV La Voz,1980,3453,57.34
Apr,2017,RTN Radio FM 104.9,198,402,49.25
Apr,2017,Radio 2,45,108,41.67
Apr,2017,Radio Activa,1791,3276,54.67
Apr,2017,Radio Argentina,558,1176,47.45
Apr,2017,Radio Atomika,1011,2004,50.45
Apr,2017,Radio Belgrano Junín,15,33,45.45
